DBCODE,ENTITY,VERT_INDEX,SITECODE,YEAR,SECTION,REACH,PASS,UNITTYPE,UNITNUM,PITNUMBER,SPECIES,LENGTH1,LENGTH2,WEIGHT,CLIP,SAMPLEDATE,NOTES
AS006,1,1,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,58,,1.75,"",1987-10-07,""
AS006,1,2,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,61,,1.95,"",1987-10-07,""
AS006,1,3,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,89,,5.60,"",1987-10-07,""
AS006,1,4,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,58,,2.15,"",1987-10-07,""
AS006,1,5,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,93,,6.90,"",1987-10-07,""
AS006,1,6,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,86,,5.90,"",1987-10-07,""
AS006,1,7,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,107,,10.50,"",1987-10-07,""
AS006,1,8,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,131,,20.60,"",1987-10-07,""
AS006,1,9,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,103,,9.55,"",1987-10-07,""
AS006,1,10,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,117,,13.00,"",1987-10-07,""
AS006,1,11,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,100,,8.25,"",1987-10-07,""
AS006,1,12,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,127,,17.70,"",1987-10-07,""
AS006,1,13,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,99,,8.15,"",1987-10-07,""
AS006,1,14,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,111,,11.25,"",1987-10-07,""
AS006,1,15,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,149,,27.15,"",1987-10-07,""
AS006,1,16,"MACKCC-L",1987,CC,L,1,R,1.0,,ONCL,102,,9.25,"",1987-10-07,""
AS006,1,17,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,53,,1.45,"",1987-10-07,""
AS006,1,18,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,58,,2.10,"",1987-10-07,""
AS006,1,19,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,58,,2.05,"",1987-10-07,""
AS006,1,20,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,105,,10.85,"",1987-10-07,""
AS006,1,21,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,145,,22.90,"",1987-10-07,""
AS006,1,22,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,97,,7.30,"",1987-10-07,""
AS006,1,23,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,118,,12.00,"",1987-10-07,""
AS006,1,24,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,110,,11.10,"",1987-10-07,""
AS006,1,25,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,133,,19.10,"",1987-10-07,""
AS006,1,26,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,99,,7.75,"",1987-10-07,""
AS006,1,27,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,93,,7.05,"",1987-10-07,""
AS006,1,28,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,155,,30.85,"",1987-10-07,""
AS006,1,29,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,131,,17.65,"",1987-10-07,""
AS006,1,30,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,120,,13.45,"",1987-10-07,""
AS006,1,31,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,94,,6.65,"",1987-10-07,""
AS006,1,32,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,97,,7.60,"",1987-10-07,""
AS006,1,33,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,98,,7.65,"",1987-10-07,""
AS006,1,34,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,122,,14.20,"",1987-10-07,""
AS006,1,35,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,135,,19.70,"",1987-10-07,""
AS006,1,36,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,186,,49.15,"",1987-10-07,""
AS006,1,37,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,121,,16.15,"",1987-10-07,""
AS006,1,38,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,59,,2.25,"",1987-10-07,""
AS006,1,39,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,91,,6.90,"",1987-10-07,""
AS006,1,40,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,103,,9.10,"",1987-10-07,""
AS006,1,41,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,107,,9.30,"",1987-10-07,""
AS006,1,42,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,129,,17.50,"",1987-10-07,""
AS006,1,43,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,92,,6.10,"",1987-10-07,""
AS006,1,44,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,93,,8.15,"",1987-10-07,""
AS006,1,45,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,154,,29.50,"",1987-10-07,""
AS006,1,46,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,121,,13.95,"",1987-10-07,""
AS006,1,47,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,63,,2.35,"",1987-10-07,""
AS006,1,48,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,116,,12.25,"",1987-10-07,""
AS006,1,49,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,59,,2.35,"",1987-10-07,""
AS006,1,50,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,48,,1.30,"",1987-10-07,""
AS006,1,51,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,111,,10.55,"",1987-10-07,""
AS006,1,52,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,63,,2.05,"",1987-10-07,""
AS006,1,53,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,96,,7.00,"",1987-10-07,""
AS006,1,54,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,62,,2.30,"",1987-10-07,""
AS006,1,55,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,57,,2.10,"",1987-10-07,""
AS006,1,56,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,57,,1.85,"",1987-10-07,""
AS006,1,57,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,56,,2.10,"",1987-10-07,""
AS006,1,58,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,64,,2.45,"",1987-10-07,""
AS006,1,59,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,58,,1.95,"",1987-10-07,""
AS006,1,60,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,70,,3.10,"",1987-10-07,""
AS006,1,61,"MACKCC-L",1987,CC,L,1,C,2.0,,ONCL,68,,2.80,"",1987-10-07,""
AS006,1,62,"MACKCC-L",1987,CC,L,1,S,3.0,,ONCL,83,,5.70,"",1987-10-07,""
AS006,1,63,"MACKCC-L",1987,CC,L,1,S,3.0,,ONCL,55,,1.40,"",1987-10-07,""
AS006,1,64,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,61,,2.60,"",1987-10-07,""
AS006,1,65,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,142,,21.30,"",1987-10-07,""
AS006,1,66,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,121,,14.90,"",1987-10-07,""
AS006,1,67,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,100,,7.35,"",1987-10-07,""
AS006,1,68,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,96,,7.35,"",1987-10-07,""
AS006,1,69,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,158,,30.60,"",1987-10-07,""
AS006,1,70,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,96,,7.05,"",1987-10-07,""
AS006,1,71,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,60,,2.10,"",1987-10-07,""
AS006,1,72,"MACKCC-L",1987,CC,L,1,P,4.0,,ONCL,55,,1.75,"",1987-10-07,""
AS006,1,73,"MACKCC-L",1987,CC,L,1,C,5.0,,ONCL,66,,2.95,"",1987-10-07,""
AS006,1,74,"MACKCC-L",1987,CC,L,1,C,5.0,,ONCL,116,,12.50,"",1987-10-07,""
AS006,1,75,"MACKCC-L",1987,CC,L,1,C,5.0,,ONCL,134,,19.50,"",1987-10-07,""
AS006,1,76,"MACKCC-L",1987,CC,L,1,C,5.0,,ONCL,63,,2.60,"",1987-10-07,""
AS006,1,77,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,101,,9.55,"",1987-10-07,""
AS006,1,78,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,58,,2.00,"",1987-10-07,""
AS006,1,79,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,52,,1.25,"",1987-10-07,""
AS006,1,80,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,28,,6.30,"",1987-10-07,""
AS006,1,81,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,65,,2.35,"",1987-10-07,""
AS006,1,82,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,61,,1.90,"",1987-10-07,""
AS006,1,83,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,62,,2.15,"",1987-10-07,""
AS006,1,84,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,135,,19.40,"",1987-10-07,""
AS006,1,85,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,61,,2.30,"",1987-10-07,""
AS006,1,86,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,106,,10.75,"",1987-10-07,""
AS006,1,87,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,88,,5.20,"",1987-10-07,""
AS006,1,88,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,103,,9.60,"",1987-10-07,""
AS006,1,89,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,107,,9.50,"",1987-10-07,""
AS006,1,90,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,53,,1.65,"",1987-10-07,""
AS006,1,91,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,81,,4.50,"",1987-10-07,""
AS006,1,92,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,58,,1.70,"",1987-10-07,""
AS006,1,93,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,68,,2.45,"",1987-10-07,""
AS006,1,94,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,57,,2.15,"",1987-10-07,""
AS006,1,95,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,65,,2.70,"",1987-10-07,""
AS006,1,96,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,59,,1.65,"",1987-10-07,""
AS006,1,97,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,51,,1.45,"",1987-10-07,""
AS006,1,98,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,59,,1.25,"",1987-10-07,""
AS006,1,99,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,58,,1.25,"",1987-10-07,""
AS006,1,100,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,58,,1.85,"",1987-10-07,""
AS006,1,101,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,53,,1.65,"",1987-10-07,""
AS006,1,102,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,55,,1.75,"",1987-10-07,""
AS006,1,103,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,58,,2.00,"",1987-10-07,""
AS006,1,104,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,55,,1.70,"",1987-10-07,""
AS006,1,105,"MACKCC-L",1987,CC,L,1,SC,6.0,,ONCL,57,,1.85,"",1987-10-07,""
AS006,1,106,"MACKCC-L",1987,CC,L,2,R,1.0,,ONCL,61,,2.15,"",1987-10-07,""
AS006,1,107,"MACKCC-L",1987,CC,L,2,R,1.0,,ONCL,98,,9.65,"",1987-10-07,""
AS006,1,108,"MACKCC-L",1987,CC,L,2,R,1.0,,ONCL,92,,6.95,"",1987-10-07,""
AS006,1,109,"MACKCC-L",1987,CC,L,2,R,1.0,,ONCL,92,,6.95,"",1987-10-07,""
AS006,1,110,"MACKCC-L",1987,CC,L,2,R,1.0,,ONCL,121,,16.80,"",1987-10-07,""
AS006,1,111,"MACKCC-L",1987,CC,L,2,R,1.0,,ONCL,106,,10.00,"",1987-10-07,""
AS006,1,112,"MACKCC-L",1987,CC,L,2,C,2.0,,ONCL,96,,7.35,"",1987-10-07,""
AS006,1,113,"MACKCC-L",1987,CC,L,2,C,2.0,,ONCL,97,,8.50,"",1987-10-07,""
AS006,1,114,"MACKCC-L",1987,CC,L,2,C,2.0,,ONCL,101,,8.70,"",1987-10-07,""
AS006,1,115,"MACKCC-L",1987,CC,L,2,P,4.0,,ONCL,57,,2.15,"",1987-10-07,""
AS006,1,116,"MACKCC-L",1987,CC,L,2,P,4.0,,ONCL,122,,15.25,"",1987-10-07,""
AS006,1,117,"MACKCC-L",1987,CC,L,2,P,4.0,,ONCL,102,,11.30,"",1987-10-07,""
AS006,1,118,"MACKCC-L",1987,CC,L,2,P,4.0,,ONCL,119,,18.50,"",1987-10-07,""
AS006,1,119,"MACKCC-L",1987,CC,L,2,P,4.0,,ONCL,158,,33.60,"",1987-10-07,""
AS006,1,120,"MACKCC-L",1987,CC,L,2,C,5.0,,ONCL,85,,5.00,"",1987-10-07,""
AS006,1,121,"MACKCC-L",1987,CC,L,2,SC,6.0,,ONCL,55,,1.65,"",1987-10-07,""
AS006,1,122,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,59,,1.85,"",1987-10-07,""
AS006,1,123,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,95,,7.20,"",1987-10-07,""
AS006,1,124,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,108,,10.45,"",1987-10-07,""
AS006,1,125,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,114,,11.70,"",1987-10-07,""
AS006,1,126,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,115,,15.50,"",1987-10-07,""
AS006,1,127,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,166,,37.15,"",1987-10-07,""
AS006,1,128,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,145,,27.80,"",1987-10-07,""
AS006,1,129,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,184,,64.20,"",1987-10-07,""
AS006,1,130,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,140,,23.40,"",1987-10-07,""
AS006,1,131,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,151,,31.20,"",1987-10-07,""
AS006,1,132,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,133,,19.50,"",1987-10-07,""
AS006,1,133,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,124,,17.15,"",1987-10-07,""
AS006,1,134,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,130,,19.25,"",1987-10-07,""
AS006,1,135,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,88,,6.50,"",1987-10-07,""
AS006,1,136,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,107,,10.65,"",1987-10-07,""
AS006,1,137,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,94,,6.85,"",1987-10-07,""
AS006,1,138,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,69,,3.50,"",1987-10-07,""
AS006,1,139,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,57,,2.20,"",1987-10-07,""
AS006,1,140,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,92,,6.05,"",1987-10-07,""
AS006,1,141,"MACKCC-M",1987,CC,M,1,P,7.0,,ONCL,89,,6.55,"",1987-10-07,""
AS006,1,142,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,60,,1.95,"",1987-10-07,""
AS006,1,143,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,147,,30.15,"",1987-10-07,""
AS006,1,144,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,150,,28.10,"",1987-10-07,""
AS006,1,145,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,56,,1.80,"",1987-10-07,""
AS006,1,146,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,62,,2.00,"",1987-10-07,""
AS006,1,147,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,53,,1.55,"",1987-10-07,""
AS006,1,148,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,57,,2.15,"",1987-10-07,""
AS006,1,149,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,52,,1.50,"",1987-10-07,""
AS006,1,150,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,101,,8.60,"",1987-10-07,""
AS006,1,151,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,100,,9.25,"",1987-10-07,""
AS006,1,152,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,112,,12.25,"",1987-10-07,""
AS006,1,153,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,136,,21.05,"",1987-10-07,""
AS006,1,154,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,133,,22.55,"",1987-10-07,""
AS006,1,155,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,94,,7.15,"",1987-10-07,""
AS006,1,156,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,52,,1.25,"",1987-10-07,""
AS006,1,157,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,97,,7.80,"",1987-10-07,""
AS006,1,158,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,106,,9.80,"",1987-10-07,""
AS006,1,159,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,85,,5.65,"",1987-10-07,""
AS006,1,160,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,105,,9.75,"",1987-10-07,""
AS006,1,161,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,143,,24.00,"",1987-10-07,""
AS006,1,162,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,148,,28.90,"",1987-10-07,""
AS006,1,163,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,96,,7.60,"",1987-10-07,""
AS006,1,164,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,122,,15.40,"",1987-10-07,""
AS006,1,165,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,127,,17.10,"",1987-10-07,""
AS006,1,166,"MACKCC-M",1987,CC,M,1,C,8.0,,ONCL,117,,13.55,"",1987-10-07,""
AS006,1,167,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,65,,2.40,"",1987-10-07,""
AS006,1,168,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,65,,2.45,"",1987-10-07,""
AS006,1,169,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,98,,9.35,"",1987-10-07,""
AS006,1,170,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,131,,21.30,"",1987-10-07,""
AS006,1,171,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,120,,15.40,"",1987-10-07,""
AS006,1,172,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,139,,27.75,"",1987-10-07,""
AS006,1,173,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,95,,8.55,"",1987-10-07,""
AS006,1,174,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,88,,6.30,"",1987-10-07,""
AS006,1,175,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,61,,2.15,"",1987-10-07,""
AS006,1,176,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,63,,2.10,"",1987-10-07,""
AS006,1,177,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,105,,10.55,"",1987-10-07,""
AS006,1,178,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,63,,2.20,"",1987-10-07,""
AS006,1,179,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,59,,2.35,"",1987-10-07,""
AS006,1,180,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,60,,1.90,"",1987-10-07,""
AS006,1,181,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,53,,1.60,"",1987-10-07,""
AS006,1,182,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,71,,3.25,"",1987-10-07,""
AS006,1,183,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,56,,1.60,"",1987-10-07,""
AS006,1,184,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,61,,2.50,"",1987-10-07,""
AS006,1,185,"MACKCC-M",1987,CC,M,1,SC,9.0,,ONCL,51,,1.20,"",1987-10-07,""
AS006,1,186,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,98,,8.65,"",1987-10-07,""
AS006,1,187,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,43,,0.45,"",1987-10-07,""
AS006,1,188,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,51,,1.20,"",1987-10-07,""
AS006,1,189,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,53,,1.25,"",1987-10-07,""
AS006,1,190,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,144,,25.80,"",1987-10-07,""
AS006,1,191,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,131,,20.65,"",1987-10-07,""
AS006,1,192,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,131,,19.75,"",1987-10-07,""
AS006,1,193,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,106,,9.65,"",1987-10-07,""
AS006,1,194,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,120,,14.55,"",1987-10-07,""
AS006,1,195,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,165,,40.50,"",1987-10-07,""
AS006,1,196,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,48,,1.05,"",1987-10-07,""
AS006,1,197,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,49,,1.20,"",1987-10-07,""
AS006,1,198,"MACKCC-M",1987,CC,M,1,P,10.0,,ONCL,62,,2.75,"",1987-10-07,""
AS006,1,199,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,72,,3.60,"",1987-10-07,""
AS006,1,200,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,128,,19.30,"",1987-10-07,""
AS006,1,201,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,47,,1.10,"",1987-10-07,""
AS006,1,202,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,126,,18.70,"",1987-10-07,""
AS006,1,203,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,99,,8.95,"",1987-10-07,""
AS006,1,204,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,86,,6.00,"",1987-10-07,""
AS006,1,205,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,130,,18.65,"",1987-10-07,""
AS006,1,206,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,123,,16.70,"",1987-10-07,""
AS006,1,207,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,104,,10.05,"",1987-10-07,""
AS006,1,208,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,66,,2.55,"",1987-10-07,""
AS006,1,209,"MACKCC-M",1987,CC,M,1,C,11.0,,ONCL,65,,2.75,"",1987-10-07,""
AS006,1,210,"MACKCC-M",1987,CC,M,2,P,7.0,,ONCL,132,,19.55,"",1987-10-07,""
AS006,1,211,"MACKCC-M",1987,CC,M,2,P,7.0,,ONCL,124,,16.00,"",1987-10-07,""
AS006,1,212,"MACKCC-M",1987,CC,M,2,P,7.0,,ONCL,123,,16.05,"",1987-10-07,""
AS006,1,213,"MACKCC-M",1987,CC,M,2,P,7.0,,ONCL,95,,8.85,"",1987-10-07,""
AS006,1,214,"MACKCC-M",1987,CC,M,2,P,7.0,,ONCL,63,,2.80,"",1987-10-07,""
AS006,1,215,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,107,,10.75,"",1987-10-07,""
AS006,1,216,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,91,,6.80,"",1987-10-07,""
AS006,1,217,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,93,,6.80,"",1987-10-07,""
AS006,1,218,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,102,,8.40,"",1987-10-07,""
AS006,1,219,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,92,,6.35,"",1987-10-07,""
AS006,1,220,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,91,,6.45,"",1987-10-07,""
AS006,1,221,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,60,,2.50,"",1987-10-07,""
AS006,1,222,"MACKCC-M",1987,CC,M,2,C,8.0,,ONCL,53,,1.65,"",1987-10-07,""
AS006,1,223,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,60,,2.00,"",1987-10-07,""
AS006,1,224,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,104,,12.25,"",1987-10-07,""
AS006,1,225,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,51,,1.25,"",1987-10-07,""
AS006,1,226,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,86,,6.65,"",1987-10-07,""
AS006,1,227,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,116,,14.70,"",1987-10-07,""
AS006,1,228,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,105,,10.40,"",1987-10-07,""
AS006,1,229,"MACKCC-M",1987,CC,M,2,SC,9.0,,ONCL,57,,1.65,"",1987-10-07,""
AS006,1,230,"MACKCC-M",1987,CC,M,2,P,10.0,,ONCL,64,,2.70,"",1987-10-07,""
AS006,1,231,"MACKCC-M",1987,CC,M,2,P,10.0,,ONCL,55,,1.70,"",1987-10-07,""
AS006,1,232,"MACKCC-M",1987,CC,M,2,P,10.0,,ONCL,118,,14.40,"",1987-10-07,""
AS006,1,233,"MACKCC-M",1987,CC,M,2,P,10.0,,ONCL,104,,9.05,"",1987-10-07,""
AS006,1,234,"MACKCC-M",1987,CC,M,2,C,11.0,,ONCL,58,,1.70,"",1987-10-07,""
AS006,1,235,"MACKCC-M",1987,CC,M,2,C,11.0,,ONCL,63,,2.60,"",1987-10-07,""
AS006,1,236,"MACKCC-M",1987,CC,M,2,C,11.0,,ONCL,69,,3.00,"",1987-10-07,""
AS006,1,237,"MACKCC-M",1987,CC,M,2,C,11.0,,ONCL,57,,2.20,"",1987-10-07,""
AS006,1,238,"MACKCC-U",1987,CC,U,1,C,15.0,,ONCL,89,,5.90,"",1987-10-07,""
AS006,1,239,"MACKCC-U",1987,CC,U,1,C,15.0,,ONCL,63,,2.95,"",1987-10-07,""
AS006,1,240,"MACKCC-U",1987,CC,U,1,C,15.0,,ONCL,76,,3.65,"",1987-10-07,""
AS006,1,241,"MACKCC-U",1987,CC,U,1,C,15.0,,ONCL,72,,3.35,"",1987-10-07,""
AS006,1,242,"MACKCC-U",1987,CC,U,1,C,15.0,,ONCL,109,,11.00,"",1987-10-07,""
